Year,Month,Coastal Avg,Middle Avg,Northern Avg
2009,12,28.56741935,27.80467742,28.23951613
2010,1,28.66709677,28.25978495,28.64717742
2010,2,29.7452381,29.52238095,31.634375
2010,3,29.5516129,29.25048387,32.88266129
2010,4,29.46233333,29.06294444,31.77708333
2010,5,28.64709677,28.21903226,30.17822581
2010,6,27.17266667,27.01294444,28.13916667
2010,7,26.21225806,25.88473118,26.81814516
2010,8,25.95387097,25.78596774,26.67056452
2010,9,26.49133333,26.03244445,26.57111111
2010,10,27.33483871,26.89715054,27.69516129
2010,11,27.66566667,27.28038889,28.88208333
2010,12,28.22064516,27.62096774,27.53104839
2011,1,27.98032258,27.16994624,27.77379032
2011,2,28.01383929,28.48404762,30.66607143
2011,3,28.88467742,28.65043011,32.29758065
2011,4,28.67625,28.79322222,31.90875
2011,5,28.03870968,28.02446237,30.00927419
